name,platform,r-date,score,user score,developer,genre,players,critics,users,trending_game,genre_count,success
Naruto: Ninja Council 2,GameBoyAdvance,"October 4, 2006",55,7.8,Aspect,"Action,Beat-'Em-Up",1-4 ,13,16,0,2,0
Death end re;Quest,PlayStation4,"February 19, 2019",71,7.9,CompileHeart,"Role-Playing,Japanese-Style",No Online Multiplayer,29,54,0,2,0
Ancestors: The Humankind Odyssey,PC,"August 27, 2019",64,5.7,PanacheDigitalGames,"Action Adventure,General,Survival",No Online Multiplayer,71,249,1,3,0
Myth III: The Wolf Age,PC,"October 30, 2001",76,6.8,MumboJumbo,"Strategy,Real-Time,Fantasy,General",1-16 ,12,12,0,4,0
World Series of Poker,PlayStation2,"August 31, 2005",46,8.2,Activision,"Miscellaneous,Parlor,Gambling",8  Online,15,21,0,3,0
Disgaea 4 Complete+,Switch,"October 29, 2019",85,7.1,NipponIchiSoftware,"Strategy,Turn-Based,Tactics",No Online Multiplayer,9,23,0,3,0
Classic NES Series: Donkey Kong,GameBoyAdvance,"June 2, 2004",55,6.9,Nintendo,"Action,Platformer,2D",1-2 ,15,8,0,3,0
F1 2014,PlayStation3,"October 21, 2014",62,4.0,CodemastersBirmingham,"Driving,Racing,Simulation,Formula One,Automobile",Up to 16 ,19,32,0,5,0
The Suffering,PC,"June 8, 2004",80,8.1,SurrealSoftware,"Action Adventure,Horror,Horror,Survival",1 Player,26,94,1,2,0
Summer Heat Beach Volleyball,PlayStation2,"July 1, 2003",65,7.7,AcclaimStudiosCheltenham,"Sports,Traditional,Volleyball",1-4 ,21,19,0,3,0
